走向,zou3 xiang4
蠮螉,ye1 weng1
广东,Guang3 dong1
作出,zuo4 chu1
广昌,Guang3 chang1
作假,zuo4 jia3
蛊惑,gu3 huo4
蛊祝,gu3 zhu4
作保,zuo4 bao3
蠲免,juan1 mian3
蠲吉,juan1 ji2
蠲减,juan1 jian3
蠲涤,juan1 di2
蠲洁,juan1 jie2
蠲租,juan1 zu1
蠲苛,juan1 ke1
广播,guang3 bo1
蠲赋,juan1 fu4
广德,Guang3 de2
广度,guang3 du4
蠲除,juan1 chu2
广平,Guang3 ping2
蠲体,juan1 ti3
作伴,zuo4 ban4
作件,zuo4 jian4
蚕丛,Can2 Cong2
广州,Guang3 zhou1
蚕子,can2 zi3
广岛,Guang3 dao3
蚕山,can2 shan1
广宁,Guang3 ning2
蚕沙,can2 sha1
广宗,Guang3 zong1
蚕眠,can2 mian2
蚕种,can2 zhong3
蚕箔,can2 bo2
广安,Guang3 an1
广大,guang3 da4
广外,Guang3 Wai4
蚕纸,can2 zhi3
蚕丝,can2 si1
蚕茧,can2 jian3
广场,guang3 chang3
蚕菜,can2 cai4
蚕蔟,can2 cu4
蚕薄,can2 bo2
蚕蛹,can2 yong3
蚕蛾,can2 e2
蚕蚁,can2 yi3
蚕豆,can2 dou4
蚕农,can2 nong2
蚕食,can2 shi2
广告,guang3 gao4
广博,guang3 bo2
作人,zuo4 ren2
广南,Guang3 nan2
一世,yi1 shi4
广元,Guang3 yuan2
广传,guang3 chuan2
蠹吏,du4 li4
蠹害,du4 hai4
广九,Guang3 Jiu3
作乱,zuo4 luan4
作主,zuo4 zhu3
废黜,fei4 chu4
蠹弊,du4 bi4
废除,fei4 chu2
废铁,fei4 tie3
废钢,fei4 gang1
蠹政,du4 zheng4
蠹简,du4 jian3
废话,fei4 hua4
蠹蛀,du4 zhu4
废旧,fei4 jiu4
废置,fei4 zhi4
废统,fei4 tong3
废纸,fei4 zhi3
蠹虫,du4 chong2
废物,fei4 wu4
废然,fei4 ran2
废渣,fei4 zha1
废液,fei4 ye4
废水,fei4 shui3
废气,fei4 qi4
废止,fei4 zhi3
废弃,fei4 qi4
废柴,fei4 chai2
废时,fei4 shi2
废料,fei4 liao4
废掉,fei4 diao4
废弛,fei4 chi2
蠹鱼,du4 yu2
作下,zuo4 xia4
蛮力,man2 li4
废墟,fei4 xu1
废品,fei4 pin3
废人,fei4 ren2
上级,shang4 ji2
佛龛,fo2 kan1
顺位,shun4 wei4
厂长,chang3 zhang3
厂规,chang3 gui1
厂丝,chang3 si1
蛮夷,man2 yi2
厂矿,chang3 kuang4
厂牌,chang3 pai2
厂房,chang3 fang2
厂工,chang3 gong1
厂家,chang3 jia1
厂子,chang3 zi5
厂址,chang3 zhi3
厂商,chang3 shang1
厂史,chang3 shi3
厂主,chang3 zhu3
顺便,shun4 bian4
庙号,miao4 hao4
庙祝,miao4 zhu4
庙会,miao4 hui4
庙宇,miao4 yu3
庙塔,miao4 ta3
庙堂,miao4 tang2
庙口,Miao4 kou3
庙主,miao4 zhu3
佛陀,Fo2 tuo2
佛门,Fo2 men2
厮锣,si1 luo2
厮缠,si1 chan2
厮熟,si1 shu2
厮混,si1 hun4
厮杀,si1 sha1
厮搏,si1 bo2
厮打,si1 da3
厮守,si1 shou3
顺利,shun4 li4
佛语,fo2 yu3
厨余,chu2 yu2
厨卫,chu2 wei4
厨房,chu2 fang2
蛮子,man2 zi5
厨师,chu2 shi1
厨子,chu2 zi5
厨司,chu2 si1
厨具,chu2 ju4
顺势,shun4 shi4
佛号,fo2 hao4
蛮干,man2 gan4
顺化,Shun4 hua4
顺口,shun4 kou3
廓清,kuo4 qing1
顺和,shun4 he2
顺嘴,shun4 zui3
顺坦,shun4 tan5
顺城,Shun4 cheng2
顺境,shun4 jing4
顺导,shun4 dao3
佛经,Fo2 jing1
佛祖,Fo2 zu3
佛牙,Fo2 ya2
廊庑,lang2 wu3
廊庙,lang2 miao4
蛮悍,man2 han4
蛮横,man2 heng4
廊坊,Lang2 fang2
佛爷,Fo2 ye5
廉颇,Lian2 Po1
廉署,lian2 shu3
廉直,lian2 zhi2
廉洁,lian2 jie2
蛮皮,man2 pi2
廉江,Lian2 jiang1
蛮缠,man2 chan2
廉政,lian2 zheng4
廉耻,lian2 chi3
廉价,lian2 jia4
廉俸,lian2 feng4
顺差,shun4 cha1
顺带,shun4 dai4
蛮荒,man2 huang1
蛮邸,man2 di3
厦门,Xia4 men2
顺平,Shun4 ping2
佛法,fo2 fa3
顺序,shun4 xu4
顺延,shun4 yan2
顺式,shun4 shi4
厢房,xiang1 fang2
顺从,shun4 cong2
佛书,Fo2 shu1
厕身,ce4 shen1
厕纸,ce4 zhi3
厕所,ce4 suo3
厕具,ce4 ju4
顺德,Shun4 de2
顺心,shun4 xin1
佛教,Fo2 jiao4
庾信,Yu3 Xin4
顺意,shun4 yi4
佛性,Fo2 xing4
顺庆,Shun4 qing4
顺应,shun4 ying4
庸医,yong1 yi1
蠼螋,qu2 sou1
庸碌,yong1 lu4
庸才,yong1 cai2
佛冈,Fo2 gang1
顺手,shun4 shou3
血债,xue4 zhai4
庸俗,yong1 su2
血凝,xue4 ning2
血刃,xue4 ren4
庸人,yong1 ren2
顺叙,shun4 xu4
血口,xue4 kou3
康马,Kang1 ma3
血史,xue4 shi3
康衢,kang1 qu2
血型,xue4 xing2
康县,Kang1 xian4
血块,xue4 kuai4
血塞,xue4 se4
康生,Kang1 Sheng1
血压,xue4 ya1
康熙,Kang1 xi1
血尿,xue4 niao4
血崩,xue4 beng1
康泰,kang1 tai4
康桥,Kang1 qiao2
血师,xue4 shi1
康乐,Kang1 le4
血库,xue4 ku4
血战,xue4 zhan4
血拼,xue4 pin1
血族,xue4 zu2
血晕,xue4 yun1
康德,Kang1 de2
康复,kang1 fu4
康强,kang1 qiang2
血晕,xue4 yun4
血书,xue4 shu1
血本,xue4 ben3
康平,kang1 ping2
康平,Kang1 ping2
血栓,xue4 shuan1
血案,xue4 an4
康巴,Kang1 ba1
血气,xue4 qi4
康定,Kang1 ding4
血水,xue4 shui3
血汗,xue4 han4
血污,xue4 wu1
康区,Kang1 qu1
康健,kang1 jian4
血泊,xue4 po1
康保,Kang1 bao3
康佳,Kang1 jia1
血洗,xue4 xi3
血流,xue4 liu2
血液,xue4 ye4
血泪,xue4 lei4
佛山,Fo2 shan1
佛寺,Fo2 si4
庶民,shu4 min2
庶几,shu4 ji1
庶室,shu4 shi4
庶子,shu4 zi3
血清,xue4 qing1
佛家,Fo2 jia1
血渍,xue4 zi4
血浆,xue4 jiang1
庵堂,an1 tang2
佛学,Fo2 xue2
佛塔,fo2 ta3
顺昌,Shun4 chang1
佛坪,Fo2 ping2
庭除,ting2 chu2
庭院,ting2 yuan4
庭长,ting2 zhang3
庭训,ting2 xun4
庭审,ting2 shen3
庭外,ting2 wai4
庭堂,ting2 tang2
庭园,ting2 yuan2
顺畅,shun4 chang4
顺服,shun4 fu2
血球,xue4 qiu2
血田,xue4 tian2
血瘤,xue4 liu2
血癌,xue4 ai2
库车,Ku4 che1
库藏,ku4 cang2
血祭,xue4 ji4
血竭,xue4 jie2
血管,xue4 guan3
血统,xue4 tong3
血缘,xue4 yuan2
血肉,xue4 rou4
血胸,xue4 xiong1
血脂,xue4 zhi1
血脉,xue4 mai4
血腥,xue4 xing1
血肿,xue4 zhong3
库尔,ku4 er3
血肠,xue4 chang2
血色,xue4 se4
库房,ku4 fang2
血亏,xue4 kui1
血衣,xue4 yi1
血衫,xue4 shan1
库存,ku4 cun2
血亲,xue4 qin1
库姆,Ku4 mu3
血证,xue4 zheng4
血象,xue4 xiang4
血账,xue4 zhang4
库克,Ku4 ke4
血迹,xue4 ji4
血路,xue4 lu4
库伦,Ku4 lun2
血钻,xue4 zuan4
血雨,xue4 yu3
库仑,Ku4 lun2
佛典,Fo2 dian3
血郁,xue4 yu4
佛光,Fo2 guang1
座钟,zuo4 zhong1
座车,zuo4 che1
佛像,fo2 xiang4
座谈,zuo4 tan2
座号,zuo4 hao4
座落,zuo4 luo4
座舱,zuo4 cang1
齑粉,ji1 fen3
䴙䴘,pi4 ti1
座机,zuo4 ji1
众寡,zhong4 gua3
一心,yi1 xin1
余车,yu2 che1
余月,yu2 yue4
座标,zuo4 biao1
上等,shang4 deng3
座椅,zuo4 yi3
座席,zuo4 xi2
座子,zuo4 zi5
一径,yi1 jing4
座儿,zuo4 r5
座位,zuo4 wei4
上空,shang4 kong1
㶉鶒,xi1 chi4
度量,du4 liang4
度过,du4 guo4
顺次,shun4 ci4
度日,du4 ri4
度数,du4 shu5
度娘,Du4 niang2
度外,du4 wai4
行乞,xing2 qi3
度假,du4 jia4
何须,he2 xu1
何谓,he2 wei4
顺民,shun4 min2
何许,he2 xu3
顺气,shun4 qi4
府邸,fu3 di3
行事,xing2 shi4
府谷,Fu3 gu3
府绸,fu3 chou2
府第,fu3 di4
府治,fu3 zhi4
府库,fu3 ku4
府幕,fu3 mu4
府尹,fu3 yin3
府城,fu3 cheng2
府上,fu3 shang4
何处,he2 chu4
庚辰,geng1 chen2
庚糖,geng1 tang2
庚申,geng1 shen1
庚戌,geng1 xu1
庚寅,geng1 yin2
行人,xing2 ren2
庚子,geng1 zi3
庚午,geng1 wu3
顺水,shun4 shui3
店面,dian4 mian4
店长,dian4 zhang3
店钱,dian4 qian2
店铺,dian4 pu4
店家,dian4 jia1
店堂,dian4 tang2
店员,dian4 yuan2
店伙,dian4 huo3
店主,dian4 zhu3
何苦,he2 ku3
行令,xing2 ling4
庖厨,pao2 chu2
何等,he2 deng3
底面,di3 mian4
底限,di3 xian4
底阀,di3 fa2
底部,di3 bu4
底边,di3 bian1
底蕴,di3 yun4
底薪,di3 xin1
底肥,di3 fei2
底线,di3 xian4
底细,di3 xi4
底端,di3 duan1
底盘,di3 pan2
底界,di3 jie4
行使,xing2 shi3
底版,di3 ban3
底片,di3 pian4
底汁,di3 zhi1
底气,di3 qi4
行凶,xing2 xiong1
底止,di3 zhi3
行刑,xing2 xing2
行列,hang2 lie4
行刺,xing2 ci4
行动,xing2 dong4
底座,di3 zuo4
底层,di3 ceng2
底子,di3 zi5
行唐,Xing2 tang2
底下,di3 xia5
顺治,Shun4 zhi4
何况,he2 kuang4
序跋,xu4 ba2
序言,xu4 yan2
序号,xu4 hao4
序曲,xu4 qu3
序文,xu4 wen2
序数,xu4 shu4
序幕,xu4 mu4
行商,hang2 shang1
序列,xu4 lie4
顺溜,shun4 liu5
何曾,he2 ceng2
行善,xing2 shan4
床头,chuang2 tou2
床铺,chuang2 pu4
床铃,chuang2 ling2
床边,chuang2 bian1
床笠,chuang2 li4
床沿,chuang2 yan2
床技,chuang2 ji4
床帐,chuang2 zhang4
床垫,chuang2 dian4
床单,chuang2 dan1
床友,chuang2 you3
床侧,chuang2 ce4
床位,chuang2 wei4
何时,he2 shi2
何日,he2 ri4
何方,he2 fang1
庇护,bi4 hu4
行囊,xing2 nang2
庇荫,bi4 yin4
庇祐,bi4 you4
庇佑,bi4 you4
何故,he2 gu4
何所,he2 suo3
顺潮,shun4 chao2
何必,he2 bi4
何干,he2 gan1
行好,xing2 hao3
几点,ji3 dian3
几近,ji1 jin4
几谏,ji1 jian4
几许,ji3 xu3
几至,ji1 zhi4
几经,ji3 jing1
几米,Ji1 mi3
几百,ji3 bai3
几率,ji1 lu:4
几岁,ji3 sui4
几欲,ji1 yu4
行客,xing2 ke4
几次,ji3 ci4
几样,ji3 yang4
几案,ji1 an4
几时,ji3 shi2
几微,ji1 wei1
行宫,xing2 gong1
几年,ji3 nian2
几希,ji1 xi1
行家,hang2 jia1
几天,ji3 tian1
行将,xing2 jiang1
几千,ji3 qian1
行市,hang2 shi4
几分,ji3 fen1
行径,xing2 jing4
行情,hang2 qing2
行房,xing2 fang2
行政,xing2 zheng4
几倍,ji3 bei4
几个,ji3 ge5
行文,xing2 wen2
行旅,xing2 lu:3
行星,xing2 xing1
行书,xing2 shu1
行期,xing2 qi1
行李,xing2 li5
行板,xing2 ban3
行栈,hang2 zhan4
行业,hang2 ye4
行止,xing2 zhi3
几何,ji3 he2
几位,ji3 wei4
行淫,xing2 yin2
行为,xing2 wei2
几乎,ji1 hu1
行状,xing2 zhuang4
几丁,ji1 ding1
何妨,he2 fang2
何如,he2 ru2
行当,hang2 dang5
幽默,you1 mo4
幽魂,you1 hun2
幽香,you1 xiang1
幽静,you1 jing4
幽灵,you1 ling2
幽雅,you1 ya3
行省,xing2 sheng3
行礼,xing2 li3
幽邃,you1 sui4
幽谷,you1 gu3
幽美,you1 mei3
幽绿,you1 lu:4
幽禁,you1 jin4
幽深,you1 shen1
幽浮,you1 fu2
幽会,you1 hui4
幽暗,you1 an4
幽明,you1 ming2
幽怨,you1 yuan4
幽径,you1 jing4
幽州,You1 zhou1
幽囹,you1 ling2
幽冥,you1 ming2
幽僻,you1 pi4
何在,he2 zai4
幼体,you4 ti3
幼马,you4 ma3
幼雏,you4 chu2
幼虫,you4 chong2
幼苗,you4 miao2
幼童,you4 tong2
行程,xing2 cheng2
幼稚,you4 zhi4
行窃,xing2 qie4
行箧,xing2 qie4
行经,xing2 jing1
幼兽,you4 shou4
幼时,you4 shi2
幼教,you4 jiao4
幼弟,you4 di4
幼年,you4 nian2
幼妹,you4 mei4
幼女,you4 nu:3
行署,xing2 shu3
行者,xing2 zhe3
幼儿,you4 er2
何尝,he2 chang2
幻象,huan4 xiang4
行脚,xing2 jiao3
幻觉,huan4 jue2
行船,xing2 chuan2
行草,xing2 cao3
幻灯,huan4 deng1
幻灭,huan4 mie4
幻景,huan4 jing3
幻想,huan4 xiang3
幻影,huan4 ying3
幻境,huan4 jing4
幻化,huan4 hua4
何啻,he2 chi4
干么,gan4 ma2
干部,gan4 bu4
干道,gan4 dao4
干警,gan4 jing3
干群,gan4 qun2
干练,gan4 lian4
干线,gan4 xian4
行号,hang2 hao4
行装,xing2 zhuang1
干渠,gan4 qu2
干流,gan4 liu2
行话,hang2 hua4
干活,gan4 huo2
干校,gan4 xiao4
干材,gan4 cai2
干掉,gan4 diao4
干才,gan4 cai2
干将,gan4 jiang4
干嘛,gan4 ma2
干吗,gan4 ma2
干啥,gan4 sha2
干劲,gan4 jin4
干仗,gan4 zhang4
行语,hang2 yu3
干事,gan4 shi5
顺产,shun4 chan3
行货,hang2 huo4
行贿,xing2 hui4
幸运,xing4 yun4
幸进,xing4 jin4
幸亏,xing4 kui1
幸而,xing4 er2
行走,xing2 zou3
幸福,xing4 fu2
幸甚,xing4 shen4
行距,hang2 ju4
幸会,xing4 hui4
行迹,xing2 ji4
幸好,xing4 hao3
幸喜,xing4 xi3
幸免,xing4 mian3
幸事,xing4 shi4
顺当,shun4 dang5
顺眼,shun4 yan3
顺磁,shun4 ci2
何以,he2 yi3
行路,xing2 lu4
年龄,nian2 ling2
行踪,xing2 zong1
行车,xing2 che1
年头,nian2 tou2
年青,nian2 qing1
年限,nian2 xian4
年关,nian2 guan1
年间,nian2 jian1
年长,nian2 zhang3
年鉴,nian2 jian4
年金,nian2 jin1
年迈,nian2 mai4
行军,xing2 jun1
年轮,nian2 lun2
行辈,hang2 bei4
行进,xing2 jin4
行医,xing2 yi1
行销,xing2 xiao1
行长,hang2 zhang3
年轻,nian2 qing1
年载,nian2 zai3
年资,nian2 zi1
年货,nian2 huo4
年谱,nian2 pu3
年谊,nian2 yi4
年表,nian2 biao3
年号,nian2 hao4
年薪,nian2 xin1
年华,nian2 hua2
行间,hang2 jian1
行头,hang2 tou2
年老,nian2 lao3
行头,xing2 tou5
年终,nian2 zhong1
年级,nian2 ji2
年纪,nian2 ji4
年糕,nian2 gao1
年节,nian2 jie2
行驶,xing2 shi3
年产,nian2 chan3
年岁,nian2 sui4
行骗,xing2 pian4
年末,nian2 mo4
年月,nian2 yue4
年会,nian2 hui4
年历,nian2 li4
行体,xing2 ti3
年息,nian2 xi1
何人,he2 ren2
衍伸,yan3 shen1
衍化,yan3 hua4
衍射,yan3 she4
衍生,yan3 sheng1
年度,nian2 du4
年庚,nian2 geng1
年底,nian2 di3
年幼,nian2 you4
衍变,yan3 bian4
年年,nian2 nian2
何不,he2 bu4
年尾,nian2 wei3
上睑,shang4 jian3
年少,nian2 shao4
年尊,nian2 zun1
一律,yi1 lu:4
顺义,Shun4 yi4
年夜,nian2 ye4
年寿,nian2 shou4
年报,nian2 bao4
术语,shu4 yu3
术赤,Shu4 chi4
年均,nian2 jun1
年友,nian2 you3
占领,zhan4 ling3
年前,nian2 qian2
年初,nian2 chu1
年内,nian2 nei4
年兄,nian2 xiong1
年假,nian2 jia4
年俸,nian2 feng4
年来,nian2 lai2
年份,nian2 fen5
占线,zhan4 xian4
占用,zhan4 yong4
顺耳,shun4 er3
年代,nian2 dai4
街上,jie1 shang5
年事,nian2 shi4
街区,jie1 qu1
街坊,jie1 fang1
年中,nian2 zhong1
年下,nian2 xia4
街巷,jie1 xiang4
占有,zhan4 you3
占族,Zhan4 zu2
街旁,Jie1 pang2
平鲁,Ping2 lu3
街机,jie1 ji1
平头,ping2 tou2
街段,jie1 duan4
平顺,ping2 shun4
平顺,Ping2 shun4
街灯,jie1 deng1
街舞,jie1 wu3
平顶,ping2 ding3
街道,jie1 dao4
街头,jie1 tou2
占据,zhan4 ju4
占婆,Zhan4 po2
占城,Zhan4 cheng2
平面,ping2 mian4
平静,ping2 jing4
平靖,ping2 jing4
衙内,ya2 nei4
平阳,Ping2 yang2
衙役,ya2 yi4
平陆,Ping2 lu4
衙署,ya2 shu3
平阴,Ping2 yin1
衙门,ya2 men5
平镇,Ping2 zhen4
平锅,ping2 guo1
占先,zhan4 xian1
平乡,Ping2 xiang1
胡同,hu2 tong4
平邑,Ping2 yi4
顺着,shun4 zhe5
平远,Ping2 yuan3
占优,zhan4 you1
平遥,Ping2 yao2
卫兵,wei4 bing1
平舆,Ping2 yu2
平辈,ping2 bei4
平身,ping2 shen1
卫冕,wei4 mian3
卫国,Wei4 guo2
卫国,wei4 guo2
平谷,Ping2 gu3
平话,ping2 hua4
卫城,wei4 cheng2
平装,ping2 zhuang1
卫报,Wei4 Bao4
卫士,wei4 shi4
平衡,ping2 heng2
卫尉,wei4 wei4
卫星,wei4 xing1
卫东,Wei4 dong1
平行,ping2 xing2
平芜,ping2 wu2
平菇,ping2 gu1
卫校,wei4 xiao4
平台,ping2 tai2
平胸,ping2 xiong1
平声,ping2 sheng1
卫浴,wei4 yu4
平罗,Ping2 luo2
平缓,ping2 huan3
平素,ping2 su4
平米,ping2 mi3
卫滨,Wei4 bin1
卫生,wei4 sheng1
卫舰,wei4 jian4
平等,ping2 deng3
平空,ping2 kong1
平稳,ping2 wen3
平移,ping2 yi2
平直,ping2 zhi2
卫衣,wei4 yi1
平白,ping2 bai2
平畴,ping2 chou2
卫视,wei4 shi4
平生,ping2 sheng1
平版,ping2 ban3
卫护,wei4 hu4
平潭,Ping2 tan2
卫辉,Wei4 hui1
卫道,wei4 dao4
平滑,ping2 hua2
卫队,wei4 dui4
平溪,Ping2 xi1
顺行,shun4 xing2
平湖,Ping2 hu2
平减,ping2 jian3
顺访,shun4 fang3
平淡,ping2 dan4
冲入,chong1 ru4
冲出,chong1 chu1
平凉,Ping2 liang2
冲刺,chong1 ci4
冲力,chong1 li4
冲劲,chong4 jin4
平泉,Ping2 quan2
冲动,chong1 dong4
冲向,chong1 xiang4
平江,Ping2 jiang1
平民,ping2 min2
平毁,ping2 hui3
冲垮,chong1 kua3
平武,Ping2 wu3
冲打,chong1 da3
冲撞,chong1 zhuang4
平桥,ping2 qiao2
冲击,chong1 ji1
平乐,Ping2 le4
冲杀,chong1 sha1
平果,Ping2 guo3
冲决,chong1 jue2
冲浪,chong1 lang4
平板,ping2 ban3
平月,ping2 yue4
冲破,chong1 po4
平时,ping2 shi2
冲突,chong1 tu1
平易,ping2 yi4
冲进,chong1 jin4
平昌,Ping2 chang1
平旦,ping2 dan4
平日,ping2 ri4
冲锋,chong1 feng1
顺路,shun4 lu4
上皮,shang4 pi2
佑护,you4 hu4
衡南,Heng2 nan2
衡山,Heng2 Shan1
衡平,heng2 ping2
衡东,Heng2 dong1
平方,ping2 fang1
平整,ping2 zheng3
平摊,ping2 tan1
平抚,ping2 fu3
平手,ping2 shou3
衡水,Heng2 shui3
平房,ping2 fang2
平房,Ping2 fang2
平成,Ping2 cheng2
平息,ping2 xi1
衡酌,heng2 zhuo2
平复,ping2 fu4
衡量,heng2 liang2
平庸,ping2 yong1
衡阳,Heng2 yang2
平度,Ping2 du4
上瘾,shang4 yin3
平底,ping2 di3
平年,ping2 nian2
衢州,Qu2 zhou1
平平,ping2 ping2
佐餐,zuo3 can1
平常,ping2 chang2
佐酒,zuo3 jiu3
平川,Ping2 chuan1
衣兜,yi1 dou1
衣冠,yi1 guan1
平山,Ping2 shan1
平局,ping2 ju2
衣夹,yi1 jia1
平实,ping2 shi2
衣子,yi1 zi3
平定,ping2 ding4
平定,Ping2 ding4
衣履,yi1 lu:3
衣带,yi1 dai4
衣料,yi1 liao4
衣服,yi1 fu5
衣架,yi1 jia4
衣柜,yi1 gui4
衣橱,yi1 chu2
衣物,yi1 wu4
衣甲,yi4 jia3
平安,ping2 an1
衣钵,yi1 bo1
衣着,yi1 zhuo2
平坝,Ping2 ba4
衣衫,yi1 shan1
平壤,Ping2 rang3
平坟,ping2 fen2
衣衾,yi1 qin1
平塘,Ping2 tang2
衣袋,yi1 dai4
平城,Ping2 cheng2
衣袖,yi1 xiu4
衣裙,yi1 qun2
平坦,ping2 tan3
衣装,yi1 zhuang1
衣裳,yi1 shang5
衣襟,yi1 jin1
衣钩,yi1 gou1
衣领,yi1 ling3
衣食,yi1 shi2
衣饰,yi1 shi4
衣鱼,yi1 yu2
佐贰,zuo3 er4
表位,biao3 wei4
平均,ping2 jun1
表兄,biao3 xiong1
表册,biao3 ce4
表功,biao3 gong1
平地,ping2 di4
表叔,biao3 shu1
平和,ping2 he2
平和,Ping2 he2
平叛,ping2 pan4
平反,ping2 fan3
表哥,biao3 ge1
平原,ping2 yuan2
平印,ping2 yin4
表单,biao3 dan1
平南,Ping2 nan2
表土,biao3 tu3
平利,Ping2 li4
表报,biao3 bao4
平分,ping2 fen1
平凡,ping2 fan2
平价,ping2 jia4
表妹,biao3 mei4
平信,ping2 xin4
平伏,ping2 fu2
平仄,ping2 ze4
平人,ping2 ren2
表姐,biao3 jie3
佐证,zuo3 zheng4
佐罗,Zuo3 luo2
干预,gan1 yu4
干邑,Gan1 yi4
干证,gan1 zheng4
干与,gan1 yu4
表姑,biao3 gu1
干涉,gan1 she4
干支,gan1 zhi1
表侄,biao3 zhi2
干扰,gan1 rao3
干挠,gan1 nao2
表字,biao3 zi4
干戈,gan1 ge1
干宝,Gan1 Bao3
干系,gan1 xi4
干休,gan1 xiu1
顺遂,shun4 sui4
顺道,shun4 dao4
顺适,shun4 shi4
佐料,zuo3 liao4
顺风,shun4 feng1
上疏,shang4 shu1
上当,shang4 dang4
帮闲,bang1 xian2
帮办,bang1 ban4
帮衬,bang1 chen4
帮腔,bang1 qiang1
帮浦,bang1 pu3
帮派,bang1 pai4
帮会,bang1 hui4
帮教,bang1 jiao4
帮手,bang1 shou3
帮忙,bang1 mang2
帮厨,bang1 chu2
帮工,bang1 gong1
表尺,biao3 chi3
帮子,bang1 zi5
帮助,bang1 zhu4
帮凶,bang1 xiong1
帮凶,bang1 xiong1
表层,biao3 ceng2
上界,shang4 jie4
住院,zhu4 yuan4
住读,zhu4 du2
住处,zhu4 chu4
住舍,zhu4 she4
币制,bi4 zhi4
币别,bi4 bie2
币值,bi4 zhi2
住校,zhu4 xiao4
幢幢,chuang2 chuang2
住持,zhu4 chi2
住手,zhu4 shou3
表带,biao3 dai4
幡然,fan1 ran2
住所,zhu4 suo3
须丸,xu1 wan2
住房,zhu4 fang2
住户,zhu4 hu4
须弥,Xu1 mi2
住居,zhu4 ju1
住宿,zhu4 su4
住家,zhu4 jia1
住客,zhu4 ke4
幕间,mu4 jian1
表弟,biao3 di4
表彰,biao3 zhang1
幕后,mu4 hou4
幕府,mu4 fu3
幕布,mu4 bu4
幕僚,mu4 liao2
须后,xu1 hou4
幔子,man4 zi5
须根,xu1 gen1
须知,xu1 zhi1
住宅,zhu4 zhai2
幌子,huang3 zi5
住址,zhu4 zhi3
住地,zhu4 di4
住嘴,zhu4 zui3
住口,zhu4 kou3
幅度,fu2 du4
幅射,fu2 she4
幅员,fu2 yuan2
住友,Zhu4 you3
住区,zhu4 qu1
帏幕,wei2 mu4
龟缩,gui1 suo1
表征,biao3 zheng1
帧频,zhen1 pin2
帧率,zhen1 lu:4
表情,biao3 qing2
表意,biao3 yi4
表态,biao3 tai4
须臾,xu1 yu2
表扬,biao3 yang2
帽檐,mao4 yan2
表明,biao3 ming2
帽子,mao4 zi5
表格,biao3 ge2
帽匠,mao4 jiang4
须要,xu1 yao4
䴙䴘,pi4 ti1
帹暆,sha4 yi2
上环,shang4 huan2
颂扬,song4 yang2
常驻,chang2 zhu4
常项,chang2 xiang4
表决,biao3 jue2
表温,biao3 wen1
常青,chang2 qing1
常道,chang2 dao4
常轨,chang2 gui3
常识,chang2 shi2
常设,chang2 she4
表演,biao3 yan3
常言,chang2 yan2
表率,biao3 shuai4
表现,biao3 xian4
常规,chang2 gui1
表白,biao3 bai2
常见,chang2 jian4
表皮,biao3 pi2
表盘,biao3 pan2
表示,biao3 shi4
常绿,chang2 lu:4
表章,biao3 zhang1
表里,biao3 li3
常用,chang2 yong4
常理,chang2 li3
常犯,chang2 fan4
表亲,biao3 qin1
常熟,Chang2 shu2
常温,chang2 wen1
常法,chang2 fa3
表观,biao3 guan1
常时,chang2 shi2
表记,biao3 ji4
常数,chang2 shu4
表语,biao3 yu3
表证,biao3 zheng4
表象,biao3 xiang4
常态,chang2 tai4
常情,chang2 qing2
表述,biao3 shu4
表达,biao3 da2
常德,Chang2 de2
表露,biao3 lu4
表面,biao3 mian4
常年,chang2 nian2
常常,chang2 chang2
表音,biao3 yin1
常州,Chang2 zhou1
低头,di1 tou2
常山,Chang2 shan1
颂歌,song4 ge1
常宁,Chang2 ning2
常客,chang2 ke4
颂词,song4 ci2
常委,chang2 wei3
颂赞,song4 zan4
齿冠,chi3 guan1
齿冷,chi3 leng3
衰亡,shuai1 wang2
衰人,shuai1 ren2
常务,chang2 wu4
常俸,chang2 feng4
衰弱,shuai1 ruo4
衰微,shuai1 wei1
常住,chang2 zhu4
衰败,shuai1 bai4
常任,chang2 ren4
常人,chang2 ren2
上班,shang4 ban1
齿及,chi3 ji2
帷幕,wei2 mu4
帷幔,wei2 man4
低音,di1 yin1
带鱼,dai4 yu2
带头,dai4 tou2
带领,dai4 ling3
带露,dai4 lu4
带霉,dai4 mei2
衰朽,shuai1 xiu3
带电,dai4 dian4
带扣,dai4 kou4
衰减,shuai1 jian3
衰竭,shuai1 jie2
带路,dai4 lu4
带走,dai4 zou3
带调,dai4 diao4
衰老,shuai1 lao3
带薪,dai4 xin1
衰落,shuai1 luo4
衰变,shuai1 bian4
带给,dai4 gei3
带累,dai4 lei4
衰退,shuai1 tui4
带病,dai4 bing4
衰运,shuai1 yun4
衰颓,shuai1 tui2
带气,dai4 qi4
预付,yu4 fu4
带有,dai4 you3
低阶,di1 jie1
带岭,Dai4 ling3
带宽,dai4 kuan1
带孝,dai4 xiao4
带子,dai4 zi5
带坏,dai4 huai4
带回,dai4 hui2
带去,dai4 qu5
低陷,di1 xian4
带动,dai4 dong4
带劲,dai4 jin4
带刺,dai4 ci4
带到,dai4 dao4
衷心,zhong1 xin1
带兵,dai4 bing1
带儿,dai4 r5
带来,dai4 lai2
预估,yu4 gu1
帐号,zhang4 hao4
帐簿,zhang4 bu4
帐帘,zhang4 lian2
